frame,x0,x1,stress,sphere_res,stiefel_res,residual_ortho,health
49,-3.47128713018961116e-2,-5.47785320714391677e-1,1.86451427279779036e-1,1.11022302462515654e-16,3.14103778608712868e-16,4.68595204896055287e-16,Nominal
50,-9.82966044689255296e-3,-2.50443128988278918e-1,1.13219667355619280e-1,0.00000000000000000e0,3.33151302204977965e-16,4.56684693963234921e-17,Nominal
51,2.04838863015198297e-2,-8.11097593474374712e-1,6.73789266068192116e-3,1.11022302462515654e-16,2.72126376074693470e-16,8.99812036448045379e-17,Nominal
52,4.95209175394750664e-2,2.88556379424435461e-1,1.02198272307905302e0,2.22044604925031308e-16,3.14046977658830534e-16,4.62963214469068417e-17,Nominal
53,1.01006279961940226e0,2.55623265340877426e-1,9.47834525750674950e-1,1.11022302462515654e-16,2.48438960264882817e-16,3.87500424095483762e-16,Nominal
54,1.00940310776783759e0,-6.03337923037812862e-1,1.42049532268756162e-1,1.11022302462515654e-16,3.14246606065807386e-16,2.57075926789865364e-16,Nominal
55,3.00406149453912655e-2,1.82315335610487406e-1,5.51568015529758870e-1,0.00000000000000000e0,4.57764999921056179e-16,1.26066187469588088e-17,Nominal
56,3.76740967672027083e-2,3.16135648862512220e-1,6.42180392105282660e-1,0.00000000000000000e0,3.51226921442813976e-16,1.05917618581875450e-16,Nominal
57,-4.54957194024557809e-3,-5.38175774328555123e-1,1.05620455738632857e0,0.00000000000000000e0,2.71990175400138134e-16,1.74242589552445262e-16,Nominal
58,9.59248287763388774e-1,2.41300277159334664e-1,1.68792152185839539e-1,0.00000000000000000e0,4.57844700572173932e-16,1.25453014169805590e-16,Nominal
59,-3.15510216475169622e-2,5.10061560369196920e-1,1.70837374367862060e-1,1.11022302462515654e-16,7.44792569936175976e-16,1.12101261755284054e-16,Nominal
60,-4.82402296676714207e-2,-4.07456979455785850e-1,5.61521288653793471e-1,1.11022302462515654e-16,5.55225341869909778e-16,4.34571602126575914e-16,Nominal
61,-3.25525687552085134e-3,-9.80306273849768761e-1,5.30204401255566893e-1,1.11022302462515654e-16,2.48451072665368496e-16,4.30435199129964396e-16,Nominal
62,-2.20097707015157636e-2,7.03357419964609543e-1,6.89728726362632272e-1,0.00000000000000000e0,5.98191980828089579e-16,1.83716962405179965e-16,Nominal
63,1.01230008640740898e0,7.38598999068535766e-1,1.54378793896182365e-1,0.00000000000000000e0,2.22481244610688506e-16,5.58613282369245043e-16,Nominal
64,-1.63306122586777125e-2,-3.13532021824274976e-1,6.41816684143343918e-1,1.11022302462515654e-16,4.96664388384699486e-16,1.19381244709818405e-16,Nominal
65,1.44896551498989727e-3,7.49053564883538137e-1,7.52762447671122992e-1,0.00000000000000000e0,1.57392102437450204e-16,2.77924140426988795e-16,Nominal
66,9.92437722593587868e-1,4.83936360311870928e-1,5.64015493915622779e-2,1.11022302462515654e-16,3.51191008195580084e-16,2.52960515500474735e-16,Nominal
67,2.40701873265559488e-2,7.24180779066178060e-1,1.10614921315973169e-1,0.00000000000000000e0,2.22197018546425604e-16,2.19536777917255997e-16,Nominal
68,-1.77450020217654984e-2,-7.75577717836248848e-2,8.50797647577580252e-1,1.11022302462515654e-16,2.72279756494595399e-16,7.21111007393836493e-17,Nominal
