frame,x0,x1,stress,sphere_res,stiefel_res,residual_ortho,health
52,6.67520431024082983e-1,2.86862648213393578e-1,6.24662757142616876e-1,2.22044604925031308e-16,2.22386542951653320e-16,1.66686978235625790e-16,Nominal
53,-9.74065858548166963e-1,7.26577500367167728e-1,1.00244813448612446e0,1.11022302462515654e-16,3.14147836730026379e-16,1.43762428039128225e-16,Nominal
54,-8.87991201515514250e-1,6.68309816324236250e-1,3.39193792270031214e-1,0.00000000000000000e0,2.48381418296304938e-16,1.71798941782929474e-16,Nominal
55,3.66897610522179729e-1,-5.47785320714391677e-1,6.08873774004778157e-1,1.11022302462515654e-16,3.33087800211623679e-16,2.99199571430063604e-16,Nominal
56,-6.94257426037922176e-1,3.67156843959893564e-1,7.65558269788016443e-1,0.00000000000000000e0,4.96520467429579023e-16,2.60191173583481599e-16,Nominal
57,-6.37496822050325429e-1,-1.96593208937851038e-1,1.74153353894405227e-1,1.11022302462515654e-16,2.22059004018260222e-16,1.06822913836378626e-16,Nominal
58,-4.23578139760860450e-1,-3.05991403670853979e-1,9.91629849192648960e-2,0.00000000000000000e0,4.00310229647699156e-16,1.24225157828819007e-17,Nominal
59,5.70945632928300917e-1,-9.27058458382117756e-1,3.79952052160226428e-1,0.00000000000000000e0,3.33112079414850762e-16,2.72743550064812686e-16,Nominal
60,1.66022613669277064e-1,-6.82953769115959730e-1,6.49138631558840995e-2,0.00000000000000000e0,2.48294512227559751e-16,2.04528238258677573e-16,Nominal
61,-1.97270519815765599e-1,-2.93625888870046703e-1,1.37586342835689934e-1,1.11022302462515654e-16,2.48463373717730296e-16,1.74691046770930332e-16,Nominal
62,1.40943584240409203e-1,-1.75954580591883847e-1,1.43915633679438160e-1,1.11022302462515654e-16,5.08797770455584441e-16,2.32737576866931855e-17,Nominal
63,3.16135648862512220e-1,-5.53666324193007320e-1,5.33187325570060322e-2,1.11022302462515654e-16,4.96681428894014009e-16,1.84892553968172121e-16,Nominal
64,-4.43877481294907561e-3,-5.38175774328555123e-1,1.62964234443181422e-2,1.11022302462515654e-16,3.84604762949896799e-16,1.02039496087757573e-16,Nominal
65,-9.09914388049115619e-2,7.67479621261178302e-1,6.33119477360419181e-1,1.11022302462515654e-16,7.53137993621098859e-16,7.38430034265018338e-17,Nominal
66,-1.55494045699358541e-1,-8.15034244732225410e-1,1.60739164159487746e-1,1.11022302462515654e-16,2.22136912329468398e-16,4.36985072955581004e-16,Nominal
67,4.23793306624405508e-1,9.47899860234796332e-1,1.06250302500823368e0,1.11022302462515654e-16,2.48563084389108705e-16,2.02569358190227135e-16,Nominal
68,-3.54937678550066416e-1,-3.29154674403264957e-1,8.22392190796086497e-1,0.00000000000000000e0,4.00351572847557077e-16,4.76970098308837644e-17,Nominal
69,-5.67789019955101448e-1,2.37039626911834445e-1,2.85025739936080491e-1,0.00000000000000000e0,3.14235234208746454e-16,1.02744846623431860e-16,Nominal
70,1.64235590436754730e-1,7.54616915517083431e-2,8.94790149373558830e-1,0.00000000000000000e0,2.48335981008286897e-16,2.78681045296258521e-16,Nominal
71,7.33094337063129542e-1,-6.35044764232210124e-1,8.64695678347442875e-1,1.11022302462515654e-16,2.22119978064614130e-16,3.92618933814241186e-17,Nominal
72,-3.13532021824274976e-1,-3.29423193678370030e-1,2.89189166769681649e-1,0.00000000000000000e0,4.57812965764045705e-16,1.94072067734959941e-16,Nominal
73,-9.37034205334477122e-1,7.49053564883538137e-1,3.66438891131946720e-1,0.00000000000000000e0,3.14217427447947088e-16,3.56324194496709034e-16,Nominal
74,2.89793102997979446e-2,-2.26541303187358656e-1,1.27455971125052803e-1,2.22044604925031308e-16,2.22377239720868600e-16,1.42205008407109118e-16,Nominal
75,3.65175462420968211e-1,-1.51245548128242646e-1,3.96516672352251298e-1,2.22044604925031308e-16,2.22799721368775969e-16,1.25333020824156274e-16,Nominal
76,5.73499149656775620e-1,-7.87652710456829386e-1,6.17884506624060137e-2,0.00000000000000000e0,3.84710865471027994e-16,8.72895202328549977e-17,Nominal
77,-6.28921672666175491e-1,-1.48050224962933408e-1,3.53643837012608819e-1,1.11022302462515654e-16,3.14095147051392949e-16,1.53718916602952377e-16,Nominal
78,-9.82999467224773049e-1,6.19873435463673683e-1,5.70884855973230354e-1,1.11022302462515654e-16,6.75380506006118375e-16,2.75833306394087696e-16,Nominal
79,3.97066934701147511e-1,-9.40202668863143742e-2,1.34122197593790649e0,1.11022302462515654e-16,6.08111823877244055e-16,1.94443853646115358e-16,Nominal
80,6.71189309241518650e-1,-2.30693049000075368e-1,3.11395522637720412e-1,2.22044604925031308e-16,2.48625312332314268e-16,3.05705332880194663e-16,Nominal
81,4.35538907816244603e-1,8.63537338970870039e-2,1.97558907621389168e-1,0.00000000000000000e0,3.14099160833993087e-16,4.83536860279141920e-16,Nominal
82,6.82197720042957423e-1,6.20940217716401843e-1,1.83536100978375138e-1,0.00000000000000000e0,4.57773217124560342e-16,1.23153149825936179e-16,Nominal
83,-9.02682568901062687e-1,8.84860355308760393e-1,4.67017259082894043e-1,1.11022302462515654e-16,2.22339243082681131e-16,5.24765320603770668e-16,Nominal
84,-2.20573726704690332e-1,-6.15620235656028525e-1,2.84683405990877603e-1,0.00000000000000000e0,3.14267798611695948e-16,1.38106760503946268e-16,Nominal
85,-9.71092615778802015e-1,8.51288051905872534e-1,8.95342054137080456e-2,0.00000000000000000e0,5.55162095431809098e-16,4.33306874824107985e-16,Nominal
86,3.77024179386259428e-1,3.83269292513725324e-1,7.35041270307617900e-1,0.00000000000000000e0,3.84748629928450454e-16,2.84169663457894768e-16,Nominal
87,3.61510159035107748e-1,7.95965645570255287e-1,2.48017305340078043e-2,1.11022302462515654e-16,2.22604000819722996e-16,2.41210886085736694e-16,Nominal
88,3.24345592429639673e-1,-5.11746198613512782e-1,3.75140701902008655e-1,0.00000000000000000e0,2.22453533883255765e-16,1.03884447998866786e-16,Nominal
89,8.31186316598357289e-1,3.09979161083817623e-1,5.53139131734200484e-1,2.22044604925031308e-16,5.97887006379598591e-16,2.17209352496839751e-16,Nominal
90,6.14116671038552608e-1,1.80658164651592568e-2,9.74923934622476951e-2,1.11022302462515654e-16,2.48414355133207775e-16,2.82157673565605399e-16,Nominal
91,7.22197148330806282e-1,-5.75207544798734816e-2,7.84484186482679036e-2,0.00000000000000000e0,1.57188302515762828e-16,1.31393136777035312e-16,Nominal
92,-8.09752981211218970e-1,-4.62787657752654624e-2,5.16702403828824708e-1,1.11022302462515654e-16,4.00477572801008904e-16,4.25032032655802006e-16,Nominal
93,9.62389332388546848e-3,-1.53788755145434886e-1,1.85979305916640802e-1,0.00000000000000000e0,1.92490073234572518e-16,9.28401250404016080e-17,Nominal
94,-6.75316066428310879e-2,7.23203956792458413e-1,1.14560263757065495e0,0.00000000000000000e0,2.22227911894384231e-16,2.17486523822327422e-16,Nominal
95,-7.05893166937086480e-1,7.19528001918125604e-1,6.12428523856090701e-1,2.22044604925031308e-16,3.15280473762714989e-16,1.45644473901698513e-16,Nominal
96,2.13533683182931311e-1,-6.50054690241722799e-1,1.27573408109129138e0,0.00000000000000000e0,2.22103042508605432e-16,1.53346513593030316e-16,Nominal
97,-3.87784264689317260e-1,-9.08066413207442302e-1,9.77665539537941997e-1,0.00000000000000000e0,4.15567324146778009e-16,1.72916345053357615e-16,Nominal
98,4.07810041613141827e-1,7.41162112933719808e-2,1.46176758532283735e-2,1.11022302462515654e-16,2.48526005016791493e-16,3.23687500902033204e-16,Nominal
99,2.51808150638943795e-1,7.69044739672426481e-2,4.77031259864987844e-1,0.00000000000000000e0,3.14079727661282481e-16,6.35960131078450151e-17,Nominal
100,6.59001740856913987e-1,-6.92502807897773964e-1,3.03123759010755611e-1,0.00000000000000000e0,7.36454219886866889e-16,2.87860883368416932e-16,Nominal
101,-4.15997121917293766e-1,3.06593140050826163e-1,9.48257107177511549e-1,1.11022302462515654e-16,5.98211788493963148e-16,2.65605722997251985e-16,Nominal
102,3.70690761686087278e-1,-3.73276346668663939e-1,4.90264828660951446e-1,0.00000000000000000e0,1.57315605663824665e-16,3.57811685553559852e-16,Nominal
103,9.23342510630550395e-1,-4.75712328446707300e-1,6.11185512012011323e-2,1.11022302462515654e-16,1.12422930312464440e-17,8.32667268468867405e-17,Nominal
104,5.47636369683502933e-1,-8.97728806594668916e-1,7.02487586217855897e-2,1.11022302462515654e-16,1.11993833592845074e-16,2.86182058985302587e-16,Nominal
105,8.26591346752426848e-1,8.98429744226826976e-1,4.10117847146075132e-1,0.00000000000000000e0,2.48955484018351627e-16,1.04775000276818156e-16,Nominal
106,5.69578944953235133e-1,2.57898434858918613e-1,2.25813198536938708e-1,0.00000000000000000e0,5.08915953574408766e-16,2.80660889198046170e-16,Nominal
107,3.19663110904701453e-1,-8.07167736323542329e-1,3.84040494189967441e-1,0.00000000000000000e0,4.71468353378748103e-16,2.39668230250380291e-16,Nominal
108,-4.96101870429570102e-1,-9.86347461419265326e-1,6.36599045088965254e-1,1.11022302462515654e-16,2.22274878482946888e-16,4.73385663166521476e-16,Nominal
109,-4.17353136059512186e-1,1.37737041424141449e-1,5.32314189672058236e-1,1.11022302462515654e-16,3.33229498028125598e-16,1.51768477441926749e-16,Nominal
110,-5.98690643383217314e-2,7.41215505482831549e-1,8.02717773487309327e-1,0.00000000000000000e0,7.36475416506981227e-16,1.19229905652937099e-16,Nominal
111,9.06049203591584584e-1,-6.48237878667403677e-1,2.98210997623000962e-1,0.00000000000000000e0,2.48749910541724949e-16,2.50666041648312547e-16,Nominal
112,-1.60688183129861439e-1,7.09577434457192346e-1,5.02414208389339478e-1,1.11022302462515654e-16,3.51325404637475688e-16,1.95401026474982852e-16,Nominal
113,5.38446355676623245e-1,6.21857768267850330e-1,2.36060422921531510e-1,2.22044604925031308e-16,3.14174178255653088e-16,2.46794518762565556e-16,Nominal
114,-6.84396152927101875e-1,3.78016130578316956e-1,5.60950653357939699e-1,0.00000000000000000e0,4.00578884174600681e-16,1.04213431605629165e-16,Nominal
115,6.57991038428306307e-1,9.13369684102134816e-1,4.53969966170380768e-1,0.00000000000000000e0,4.00334190431443238e-16,4.02590414543538677e-16,Nominal
116,8.87998072581348774e-1,-1.41609161141418971e-1,3.61365274195771469e-1,1.11022302462515654e-16,4.96609854825557930e-16,3.56177691167450166e-16,Nominal
117,-6.01103954679097274e-1,8.11447725631393002e-1,3.99390718355831953e-1,0.00000000000000000e0,3.14069397743506426e-16,3.46805889550599855e-16,Nominal
118,-1.62783192331368065e-1,-9.23928583539273207e-1,1.34920735340681963e0,0.00000000000000000e0,1.92606067088195188e-16,8.46999943497191298e-17,Nominal
119,9.30369336017446091e-1,-1.55411735295649667e-1,6.57015157535654204e-1,1.11022302462515654e-16,2.48931307714918246e-16,1.98699682586405599e-16,Nominal
120,1.58616128131490175e-1,3.64672950119499850e-1,1.56319804615946079e-1,2.22044604925031308e-16,3.51400344465686106e-16,5.68452896081674998e-17,Nominal
121,3.00754050544361773e-1,-3.26916471672717979e-2,7.40033171979189719e-1,0.00000000000000000e0,2.22318874211359963e-16,1.36517888182718150e-16,Nominal
122,-5.02906916292859441e-1,9.03996756221014941e-2,6.97924595241588563e-1,1.11022302462515654e-16,2.48810390960460509e-16,5.72195849815279681e-17,Nominal
123,4.05081268539531081e-1,-9.61929969225139736e-1,1.24011161440597162e0,2.22044604925031308e-16,3.68311249569530225e-16,1.94907588751793412e-16,Nominal
124,-3.33985802470927906e-1,-9.26528937455216806e-1,3.32388608002999408e-1,0.00000000000000000e0,2.48701515617037042e-16,2.33002488340689841e-16,Nominal
125,2.91123523408084228e-1,-9.23146541942394538e-1,3.14680469767842919e-1,0.00000000000000000e0,4.44158661120982832e-16,8.32667268468867405e-17,Nominal
126,1.70243649418943876e-1,-2.86942909959432946e-1,1.15949032267619656e-1,1.11022302462515654e-16,3.14996838008207583e-16,8.46999943497191298e-17,Nominal
127,3.68593050458489779e-1,-9.19531971875870546e-1,5.76359634878083060e-2,0.00000000000000000e0,4.96659844150139140e-16,2.81046618631467455e-16,Nominal
128,8.54712149675048716e-1,4.84639058320731397e-1,2.94746379143781656e-1,0.00000000000000000e0,7.02167765135869396e-16,2.48641008715035317e-16,Nominal
129,2.09610498579794635e-1,8.69041281767761076e-1,4.73398657015938307e-1,0.00000000000000000e0,3.33283677281882220e-16,1.20722297033492483e-16,Nominal
130,6.65880901131082892e-1,5.20986755570356008e-1,5.59832174061168919e-2,1.11022302462515654e-16,3.14327394256107221e-16,1.42374199434713805e-16,Nominal
131,-1.92772633240850810e-1,4.90386234734807802e-1,1.58699212066721440e-1,0.00000000000000000e0,3.33716794654077800e-16,4.47343445558316228e-17,Nominal
132,8.25169219622244654e-1,9.66252431385878685e-1,2.28472368124711944e-1,0.00000000000000000e0,4.00411231076165287e-16,3.96507305863674994e-16,Nominal
